Description	CCS Group	ICD9	CCS
Nodular lymphoma, lymph nodes of multiple sites	Other diagnostic procedures on lung and bronc	20208	038
PANCREAT SPHINCTEROPLAS	Other lower respiratory disease	5183	133
Retracted nipple associated with childbirth, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	67601	195
Attention deficit disorder without mention of hyperactivity	Other OR therapeutic procedures on respirator	31400	042
Other specified disorders of biliary tract	Arthroscopy	5768	149
Unspecified disorder of biliary tract	Arthroscopy	5769	149
Spasm of sphincter of Oddi	Arthroscopy	5765	149
Obstruction of bile duct	Arthroscopy	5762	149
Perforation of bile duct	Arthroscopy	5763	149
Postcholecystectomy syndrome	Arthroscopy	5760	149
Cholangitis	Arthroscopy	5761	149
Other fluid overload	Peripheral vascular bypass	27669	055
Multiple endocrine neoplasia [MEN] type I	Endarterectomy, vessel of head and neck	25801	051
Drug induced neutropenia	Other non-OR therapeutic cardiovascular proce	28803	063
Cyclic neutropenia	Other non-OR therapeutic cardiovascular proce	28802	063
Congenital neutropenia	Other non-OR therapeutic cardiovascular proce	28801	063
Neutropenia, unspecified	Amputation of lower extremity	28800	157
Other neutropenia	Other non-OR therapeutic cardiovascular proce	28809	063
Personal history of malignant neoplasm of other urinary organs	Tracheostomy, temporary and permanent	V1059	034
Cystic fibrosis gene carrier	Residual codes; unclassified	V8381	259
Personal history of malignant neoplasm of renal pelvis	Other OR therapeutic procedures on nose, mout	V1053	033
Personal history of malignant neoplasm of kidney	Other OR therapeutic procedures on nose, mout	V1052	033
Personal history of malignant neoplasm of bladder	Other non-OR therapeutic procedures on nose,	V1051	032
Other closed transcervical fracture of neck of femur	Laboratory - Chemistry and Hematology	82009	233
Benign neoplasm of spinal meninges	Diagnostic cardiac catheterization, coronary	2254	047
Closed fracture of base of neck of femur	Other diagnostic radiology and related techni	82003	226
Closed fracture of midcervical section of neck of femur	Other diagnostic radiology and related techni	82002	226
Closed fracture of epiphysis (separation) (upper) of neck of femur	Other diagnostic radiology and related techni	82001	226
Closed fracture of intracapsular section of neck of femur, unspecified	Laboratory - Chemistry and Hematology	82000	233
Urinary tract infection of newborn	Cancer chemotherapy	77182	224
Other specified congenital anomalies of brain	Respiratory intubation and mechanical ventila	7424	216
Congenital hydrocephalus	Respiratory intubation and mechanical ventila	7423	216
Congenital reduction deformities of brain	Respiratory intubation and mechanical ventila	7422	216
Microcephalus	Respiratory intubation and mechanical ventila	7421	216
Encephalocele	Respiratory intubation and mechanical ventila	7420	216
Other injury of external genitals	Gastric bypass and volume reduction	95914	244
Other infections specific to the perinatal period	Cancer chemotherapy	77189	224
Other injury of chest wall	Gastric bypass and volume reduction	95911	244
Fracture of corpus cavernosum penis	Gastric bypass and volume reduction	95913	244
contusn of buttock	Superficial injury; contusion	92232	239
Malignant neoplasm of lower lobe, bronchus or lung	Other therapeutic procedures on eyelids, conj	1625	019
Contracture of joint, pelvic region and thigh	Radioisotope scan and function studies	71845	209
malathion	Ungrouped	6606	000
Osteoarthrosis, unspecified whether generalized or localized, other specified sites	Electrographic cardiac monitoring	71598	203
Benign mucous membrane pemphigoid without mention of ocular involvement	Magnetic resonance imaging	69460	198
Benign mucous membrane pemphigoid with ocular involvement	Magnetic resonance imaging	69461	198
Closed fracture of unspecified part of upper end of humerus	Pathology	81200	234
Closed fracture of surgical neck of humerus	Pathology	81201	234
Closed fracture of anatomical neck of humerus	Pathology	81202	234
Closed fracture of greater tuberosity of humerus	Pathology	81203	234
Unspecified osteochondropathy	Diagnostic physical therapy	7329	212
Other closed fracture of upper end of humerus	Pathology	81209	234
chlorhexidine	Coronary artery bypass graft (CABG)	2358	044
Neoplasm of uncertain behavior of other and unspecified respiratory organs	Coronary artery bypass graft (CABG)	2359	044
Neoplasm of uncertain behavior of stomach, intestines, and rectum	Coronary artery bypass graft (CABG)	2352	044
Neoplasm of uncertain behavior of liver and biliary passages	Coronary artery bypass graft (CABG)	2353	044
Neoplasm of uncertain behavior of major salivary glands	Coronary artery bypass graft (CABG)	2350	044
Neoplasm of uncertain behavior of lip, oral cavity, and pharynx	Coronary artery bypass graft (CABG)	2351	044
chlordiazepoxide	Coronary artery bypass graft (CABG)	2356	044
ENDOSC REMOVE BILE STONE (Begin 1989)	Other non-OR gastrointestinal therapeutic pro	5188	098
chlorcyclizine	Coronary artery bypass graft (CABG)	2354	044
Neoplasm of uncertain behavior of other and unspecified digestive organs	Coronary artery bypass graft (CABG)	2355	044
Other specified spirochetal infections	Other non-OR or closed therapeutic nervous sy	1048	008
Obstructive chronic bronchitis with (acute) exacerbation	Dilatation and curettage (D&C), aspiration af	49121	127
Obstructive chronic bronchitis without exacerbation	Dilatation and curettage (D&C), aspiration af	49120	127
Obstructive chronic bronchitis with acute bronchitis	Dilatation and curettage (D&C), aspiration af	49122	127
Malignant neoplasm of other specified sites of urinary organs	Tracheostomy, temporary and permanent	1898	034
Malignant neoplasm of urinary organ, site unspecified	Tracheostomy, temporary and permanent	1899	034
Unspecified inflammation of eyelid	Excision, lysis peritoneal adhesions	3739	090
Other inflammations of eyelids	Excision, lysis peritoneal adhesions	3738	090
Malignant neoplasm of kidney, except pelvis	Other OR therapeutic procedures on nose, mout	1890	033
Malignant neoplasm of renal pelvis	Other OR therapeutic procedures on nose, mout	1891	033
PERICARDIECTOMY	Other OR heart procedures	3731	049
Benign neoplasm of pelvic bones, sacrum, and coccyx	Diagnostic cardiac catheterization, coronary	2136	047
Benign neoplasm of long bones of lower limb	Diagnostic cardiac catheterization, coronary	2137	047
Benign neoplasm of scapula and long bones of upper limb	Diagnostic cardiac catheterization, coronary	2134	047
Benign neoplasm of short bones of upper limb	Diagnostic cardiac catheterization, coronary	2135	047
NASAL LES DESTRUCT NEC	Diagnostic cardiac catheterization, coronary	2132	047
Benign neoplasm of ribs, sternum, and clavicle	Diagnostic cardiac catheterization, coronary	2133	047
NASAL LESION EXCIS NOS	Diagnostic cardiac catheterization, coronary	2130	047
INTRANAS LES DESTRUCTION	Diagnostic cardiac catheterization, coronary	2131	047
Irritability	Residual codes; unclassified	79922	259
Other emphysema	Dilatation and curettage (D&C), aspiration af	4928	127
Benign neoplasm of short bones of lower limb	Diagnostic cardiac catheterization, coronary	2138	047
Benign neoplasm of bone and articular cartilage, site unspecified	Diagnostic cardiac catheterization, coronary	2139	047
Acute gastric ulcer with perforation, without mention of obstruction	Fetal monitoring	53110	139
Pulmonary alveolar proteinosis	Other lower respiratory disease	5160	133
COMMON DUCT EXCIS NEC	Other lower respiratory disease	5163	133
hx of malignancy nos	Other non-OR therapeutic procedures on respir	V109	041
Other specified alveolar and parietoalveolar pneumonopathies	Other lower respiratory disease	5168	133
BILE DUCT EXCISION NEC	Other lower respiratory disease	5169	133
Personal history of malignant neoplasm of breast	Mastoidectomy	V103	024
Secondary iridocyclitis, noninfectious	Excision, lysis peritoneal adhesions	36404	090
Hypopyon	Other therapeutic procedures	36405	231
Inflammatory conditions of jaw	Disorders of teeth and jaw	5264	136
Acute and subacute iridocyclitis, unspecified	Other therapeutic procedures	36400	231
Primary iridocyclitis	Excision, lysis peritoneal adhesions	36401	090
Recurrent iridocyclitis	Excision, lysis peritoneal adhesions	36402	090
Secondary iridocyclitis, infectious	Excision, lysis peritoneal adhesions	36403	090
Other specified hereditary hemolytic anemias	Other OR procedures on vessels of head and ne	2828	059
Poisoning by other specified psychotropic agents	Poisoning by psychotropic agents	9698	241
Poisoning by psychodysleptics (hallucinogens)	Poisoning by psychotropic agents	9696	241
poison-psychostimulants	Poisoning by psychotropic agents	9697	241
Poisoning by benzodiazepine-based tranquilizers	Poisoning by psychotropic agents	9694	241
Poisoning by other tranquilizers	Poisoning by psychotropic agents	9695	241
Poisoning by other antipsychotics, neuroleptics, and major tranquilizers	Poisoning by psychotropic agents	9693	241
poisoning-antidepressant	Poisoning by psychotropic agents	9690	241
Poisoning by phenothiazine-based tranquilizers	Poisoning by psychotropic agents	9691	241
Nephritis and nephropathy, not specified as acute or chronic, with other specified pathological lesion in kidney	Injections and aspirations of muscles, tendon	58389	156
Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere	Injections and aspirations of muscles, tendon	58381	156
Open wound of multiple sites of nose, without mention of complication	Other Laboratory	87329	235
Open wound of nasal septum, without mention of complication	Other Laboratory	87321	235
Open wound of nose, unspecified site, without mention of complication	Other Laboratory	87320	235
Open wound of nasal cavity, without mention of complication	Other Laboratory	87322	235
Rheumatic heart disease, unspecified	Other gastrointestinal diagnostic procedures	39890	097
Rheumatic heart failure (congestive)	Indwelling catheter	39891	108
Other rheumatic heart diseases	Other gastrointestinal diagnostic procedures	39899	097
Unspecified osteomyelitis, ankle and foot	Cardiac stress tests	73027	201
Allergic rhinitis, cause unspecified	Cesarean section	4779	134
Burns of multiple specified sites, unspecified degree	Burns	9460	240
ALCOHOL DETOXIFICATION (Begin 1989)	Burns	9462	240
Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease	Other OR gastrointestinal therapeutic procedu	40493	099
Infection and inflammatory reaction due to other internal orthopedic device, implant, and graft	Ancillary Services	99667	237
Infection and inflammatory reaction due to internal joint prosthesis	Ancillary Services	99666	237
Infection and inflammatory reaction due to other genitourinary device, implant, and graft	Ancillary Services	99665	237
Infection and inflammatory reaction due to indwelling urinary catheter	Ancillary Services	99664	237
Infection and inflammatory reaction due to nervous system device, implant, and graft	Ancillary Services	99663	237
Infection and inflammatory reaction due to other vascular device, implant, and graft	Ancillary Services	99662	237
Infection and inflammatory reaction due to cardiac device, implant, and graft	Ancillary Services	99661	237
Other functional disorder of bladder	Other OR therapeutic procedures on joints	59659	162
Neurogenic bladder NOS	Other OR therapeutic procedures on joints	59654	162
Malignant neoplasm of long bones of lower limb	Other extraocular muscle and orbit therapeuti	1707	021
Low bladder compliance	Other OR therapeutic procedures on joints	59652	162
Paralysis of bladder	Other OR therapeutic procedures on joints	59653	162
Infection and inflammatory reaction due to other internal prosthetic device, implant, and graft	Ancillary Services	99669	237
Hypertonicity of bladder	Other OR therapeutic procedures on joints	59651	162
Other branchial cleft cyst or fistula; preauricular sinus	Other respiratory therapy	74449	217
Heterophoria, unspecified	Peritoneal dialysis	37840	091
HAND TENONECTOMY NEC	Other therapeutic procedures on muscles and t	8233	160
EXCIS HAND TEND FOR GRFT	Other therapeutic procedures on muscles and t	8232	160
accid from overexertion	e codes: transport- not mvt	E927	261
Vascular disorders of kidney	Other OR therapeutic procedures on bone	59381	161
Other specified disorders of kidney and ureter	Other OR therapeutic procedures on bone	59389	161
Other malignant lymphomas, lymph nodes of inguinal region and lower limb	Other diagnostic procedures on lung and bronc	20285	038
Follow-up examination, following surgery, unspecified	Other aftercare	V6700	257
Following surgery, follow-up vaginal pap smear	Other aftercare	V6701	257
Forceps delivery affecting fetus or newborn	Cancer chemotherapy	7632	224
Delivery by vacuum extractor affecting fetus or newborn	Cancer chemotherapy	7633	224
Breech delivery and extraction affecting fetus or newborn	Cancer chemotherapy	7630	224
PARTIAL MANDIBULECTOMY	Cancer chemotherapy	7631	224
Cesarean delivery affecting fetus or newborn	Cancer chemotherapy	7634	224
Follow-up examination, following other surgery	Other aftercare	V6709	257
Testing of male for genetic disease carrier status	Other organ transplantation	V2634	176
POLIO VACCINE ADMINISTRA	Gastric bypass and volume reduction	9941	244
posterior chamber intraocular lens	Poisoning by psychotropic agents	V2632	241
Genetic counseling	Other organ transplantation	V2633	176
Other malignant lymphomas, lymph nodes of axilla and upper limb	Other diagnostic procedures on lung and bronc	20284	038
iris supported intraocular lens	Poisoning by psychotropic agents	V2631	241
Other genetic testing of male	Other organ transplantation	V2639	176
MICRO EXAM-INTEGUMEN NEC	Superficial injury; contusion	9169	239
Other specified maternal complications of pregnancy affecting fetus or newborn	Cancer chemotherapy	7618	224
Toxic effect of unspecified lead compound	DME and supplies	9849	243
Malignant neoplasm of appendix vermiformis	Glaucoma procedures	1535	014
Malignant neoplasm of cecum	Glaucoma procedures	1534	014
Malignant neoplasm of sigmoid colon	Glaucoma procedures	1533	014
Malignant neoplasm of descending colon	Glaucoma procedures	1532	014
Malignant neoplasm of hepatic flexure	Glaucoma procedures	1530	014
dacarbazine	Ungrouped	3098	000
Closed treatment of fracture great toe, phalanx or phalanges; without manipulation	Treatment, fracture or dislocation of lower e	28490	147
Malignant neoplasm of colon, unspecified site	Glaucoma procedures	1539	014
Malignant neoplasm of other specified sites of large intestine	Glaucoma procedures	1538	014
FACIAL BONE BIOPSY	Cancer chemotherapy	7611	224
AUT BONE MARROW TRNSPLNT (Begin 1988)	Endoscopy and endoscopic biopsy of the urinar	4101	100
CORRECT EVERTED PUNCTUM	Other therapeutic procedures on eyelids, conj	0971	019
ALLOGEN HEMATO STEM CELL TRANS (Begin 1997)	Endoscopy and endoscopic biopsy of the urinar	4105	100
AUTOL HEMATOPO STEM CELL TRANSPLNT (Begin 1994)	Endoscopy and endoscopic biopsy of the urinar	4104	100
etacrynic acid	Endoscopy and endoscopic biopsy of the urinar	4109	100
Syphilis, unspecified	Other OR therapeutic nervous system procedure	0979	009
ARTERIAL PUNCTURE NEC	Other therapeutic procedures	3898	231
VENOUS PUNCTURE NEC	Other therapeutic procedures	3899	231
UMBILICAL VEIN CATH	Other OR upper GI therapeutic procedures	3892	094
ARTERIAL CATHETERIZATION	Other vascular catheterization, not heart	3891	054
CV cath plcmt w guidance (Begin 2010)	Other OR upper GI therapeutic procedures	3897	094
Sensorineural hearing loss, bilateral	Other OR upper GI therapeutic procedures	38918	094
Aseptic necrosis of head of humerus	Diagnostic physical therapy	73341	212
Aseptic necrosis of head and neck of femur	Diagnostic physical therapy	73342	212
Aseptic necrosis of medial femoral condyle	Diagnostic physical therapy	73343	212
TOXICOLOGY-INTEGUMENT	Superficial injury; contusion	9165	239
Sensorineural hearing loss, unspecified	Other OR upper GI therapeutic procedures	38910	094
Aseptic necrosis of bone, other	Diagnostic physical therapy	73349	212
Neural hearing loss, bilateral	Other OR upper GI therapeutic procedures	38912	094
Neural hearing loss, unilateral	Other OR upper GI therapeutic procedures	38913	094
Central hearing loss	Other OR upper GI therapeutic procedures	38914	094
Sensorineural hearing loss, unilateral	Other OR upper GI therapeutic procedures	38915	094
Sensorineural hearing loss, asymmetrical	Other OR upper GI therapeutic procedures	38916	094
Sensory hearing loss, unilateral	Other OR upper GI therapeutic procedures	38917	094
Other mononeuritis of lower limb	Other non-OR lower GI therapeutic procedures	35579	095
Causalgia of lower limb	Other non-OR lower GI therapeutic procedures	35571	095
Chronic interstitial cystitis	Other diagnostic procedures on musculoskeleta	5951	159
Acute cystitis	Other diagnostic procedures on musculoskeleta	5950	159
Trigonitis	Other diagnostic procedures on musculoskeleta	5953	159
Other chronic cystitis	Other diagnostic procedures on musculoskeleta	5952	159
Cystitis in diseases classified elsewhere	Other diagnostic procedures on musculoskeleta	5954	159
Cystitis, unspecified	Other diagnostic procedures on musculoskeleta	5959	159
Neurotrophic keratoconjunctivitis	Excision, lysis peritoneal adhesions	37035	090
Triplet pregnancy, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65113	195
Triplet pregnancy, unspecified as to episode of care or not applicable	Diagnostic ultrasound of abdomen or retroperi	65110	196
Triplet pregnancy, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of abdomen or retroperi	65111	196
Menstrual migraine, without mention of intractable migraine without mention of status migrainosus	Cholecystectomy and common duct exploration	34640	084
INSERT SPINAL CANAL CATH (Begin 1987)	Other diagnostic ultrasound	0390	197
ANESTH INJECT-SPIN CANAL	Removal of ectopic pregnancy	0391	122
SPINAL CANAL INJECT NEC	Insertion of catheter or spinal stimulator an	0392	005
Menstrual migraine, with intractable migraine, so stated, without mention of status migrainosus	Cholecystectomy and common duct exploration	34641	084
REMOVE SPINE THECA SHUNT	Other OR therapeutic nervous system procedure	0398	009
SPINE CANAL STRUC OP NEC	Other OR therapeutic nervous system procedure	0399	009
Peripheral neuritis in pregnancy, antepartum condition or complication	Myelogram	64643	181
Diabetes with ketoacidosis, type I [juvenile type], uncontrolled	Extracorporeal circulation auxiliary to open	25013	050
Diabetes with ketoacidosis, type II or unspecified type, uncontrolled	Extracorporeal circulation auxiliary to open	25012	050
Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled	Extracorporeal circulation auxiliary to open	25011	050
Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled	Extracorporeal circulation auxiliary to open	25010	050
Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness	Laboratory - Chemistry and Hematology	85200	233
Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness	Laboratory - Chemistry and Hematology	85201	233
Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	Laboratory - Chemistry and Hematology	85202	233
Subarachnoid hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness	Laboratory - Chemistry and Hematology	85203	233
Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level	Laboratory - Chemistry and Hematology	85205	233
Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration	Laboratory - Chemistry and Hematology	85206	233
Typhoid fever	Forceps, vacuum, and breech delivery	0020	135
Unspecified vomiting of pregnancy, antepartum condition or complication	Myelogram	64393	181
Pre-operative cardiovascular examination	Medical examination/evaluation	V7281	256
Pre-operative respiratory examination	Medical examination/evaluation	V7282	256
Other specified pre-operative examination	Medical examination/evaluation	V7283	256
Pre-operative examination, unspecified	Medical examination/evaluation	V7284	256
Other specified examination	Medical examination/evaluation	V7285	256
Encounter for blood typing	Medical examination/evaluation	V7286	256
Primary hypotony of eye	Peritoneal dialysis	36031	091
Hypotony of eye, unspecified	Peritoneal dialysis	36030	091
Family history of anemia	Residual codes; unclassified	V182	259
Intermittent angle-closure glaucoma	Abdominal paracentesis	36521	088
Screening for skin conditions	Other screening for suspected conditions (not mental disorders or infectious disease)	V820	258
Screening for rheumatoid arthritis	Other screening for suspected conditions (not mental disorders or infectious disease)	V821	258
Screening for congenital dislocation of hip	Other screening for suspected conditions (not mental disorders or infectious disease)	V823	258
Screening for chemical poisoning and other contamination	Other screening for suspected conditions (not mental disorders or infectious disease)	V825	258
Multiphasic screening	Other screening for suspected conditions (not mental disorders or infectious disease)	V826	258
Special screening for other conditions - Other specified conditions	Other screening for suspected conditions (not mental disorders or infectious disease)	V828	258
Screening for unspecified condition	Other screening for suspected conditions (not mental disorders or infectious disease)	V829	258
Dentofacial functional abnormality, unspecified	Disorders of teeth and jaw	52450	136
Hydrocele, unspecified	Lumpectomy, quadrantectomy of breast	6039	166
isoniazid	Lumpectomy, quadrantectomy of breast	6038	166
Other dentofacial functional abnormalities	Disorders of teeth and jaw	52459	136
Infected hydrocele	Breast biopsy and other diagnostic procedures	6031	165
Encysted hydrocele	Lumpectomy, quadrantectomy of breast	6030	166
Calculus of bile duct with other cholecystitis, with obstruction	Arthroscopy	57441	149
Calculus of bile duct with other cholecystitis, without mention of obstruction	Arthroscopy	57440	149
Pellagra	Aortic resection, replacement or anastomosis	2652	052
Other and unspecified manifestations of thiamine deficiency	Aortic resection, replacement or anastomosis	2651	052
Acquired deformity of other specified site	Radioisotope scan and function studies	7388	209
Acquired deformity of unspecified site	Radioisotope scan and function studies	7389	209
Acquired deformity of neck	Radioisotope scan and function studies	7382	209
Acquired deformity of chest and rib	Radioisotope scan and function studies	7383	209
Acquired deformity of nose	Radioisotope scan and function studies	7380	209
Acquired deformity of pelvis	Radioisotope scan and function studies	7386	209
Cauliflower ear	Radioisotope scan and function studies	7387	209
Acquired spondylolisthesis	Radioisotope scan and function studies	7384	209
Other acquired deformity of back or spine	Radioisotope scan and function studies	7385	209
Aftercare for healing traumatic fracture of hip	Other diagnostic radiology and related techni	V5413	226
Aftercare for healing traumatic fracture of lower arm	Nonoperative removal of foreign body	V5412	229
Contact with or exposure to varicella	Thyroidectomy, partial or complete	V0171	010
Aftercare for healing traumatic fracture of arm, unspecified	Nonoperative removal of foreign body	V5410	229
Aftercare for healing traumatic fracture of vertebrae	Other therapeutic procedures	V5417	231
Aftercare for healing traumatic fracture of lower leg	Extracorporeal shock wave, other than urinary	V5416	230
Aftercare for healing traumatic fracture of upper leg	Extracorporeal shock wave, other than urinary	V5415	230
Aftercare for healing traumatic fracture of leg, unspecified	Extracorporeal shock wave, other than urinary	V5414	230
Grand multiparity, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	65941	195
Aftercare for healing traumatic fracture of other bone	Other therapeutic procedures	V5419	231
BACT SMEAR-SPLEEN/MARROW	Home Health Services	9061	236
Late effect of open wound of head, neck, and trunk	Other Laboratory	9060	235
C & S-SPLEEN/MARROW	Superficial injury; contusion	9063	239
CULTURE-SPLEEN/MARROW	Superficial injury; contusion	9062	239
TOXICOLOGY-SPLEEN/MARROW	Burns	9065	240
Transverse or oblique presentation, delivered, with or without mention of antepartum condition	Intravenous pyelogram	65231	187
CELL BLK/PAP-SPLEEN/MARR	Burns	9066	240
quinidine	Burns	9068	240
Gastrojejunal ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction	Fetal monitoring	53490	139
Acute on chronic combined systolic and diastolic heart failure	Indwelling catheter	42843	108
Chronic combined systolic and diastolic heart failure	Indwelling catheter	42842	108
Acute combined systolic and diastolic heart failure	Indwelling catheter	42841	108
Combined systolic and diastolic heart failure, unspecified	Indwelling catheter	42840	108
GRAFT REPAIR VENTRIC DEF	Other non-OR lower GI therapeutic procedures	3562	095
GRFT REPAIR HRT SEPT NOS	Other non-OR lower GI therapeutic procedures	3560	095
GRAFT REPAIR ATRIAL DEF	Other non-OR lower GI therapeutic procedures	3561	095
Other specified anomalies of mouth	Traction, splints, and other wound care	75026	214
Idiopathic progressive polyneuropathy	Other non-OR lower GI therapeutic procedures	3564	095
Other specified idiopathic peripheral neuropathy	Other non-OR lower GI therapeutic procedures	3568	095
Unspecified hereditary and idiopathic peripheral neuropathy	Other non-OR lower GI therapeutic procedures	3569	095
Hereditary hemorrhagic telangiectasia	Other non-OR therapeutic procedures, male gen	4480	117
Nevus, non-neoplastic	Other non-OR therapeutic procedures, male gen	4481	117
Other and unspecified capillary diseases	Other non-OR therapeutic procedures, male gen	4489	117
Developmental dislocation of joint, pelvic region and thigh	Swan-Ganz catheterization for monitoring	71875	204
VAGINAL VAULT OBLITERAT	Repair of cystocele and rectocele, obliterati	708	129
Cast Room - General Classification	Nonoperative urinary system measurements	700	200
Motor vehicle traffic accident involving collision with other vehicle injuring driver of motor vehicle other than motorcycle	E Codes: All (external causes of injury and poisoning)	E8130	260
Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb	Diagnostic bronchoscopy and biopsy of bronchu	20195	037
Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb	Diagnostic bronchoscopy and biopsy of bronchu	20194	037
Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck	Diagnostic bronchoscopy and biopsy of bronchu	20191	037
Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites	Diagnostic bronchoscopy and biopsy of bronchu	20190	037
Hodgkin's disease, unspecified type, intra-abdominal lymph nodes	Diagnostic bronchoscopy and biopsy of bronchu	20193	037
Hodgkin's disease, unspecified type, intrathoracic lymph nodes	Diagnostic bronchoscopy and biopsy of bronchu	20192	037
Hodgkin's disease, unspecified type, lymph nodes of multiple sites	Diagnostic bronchoscopy and biopsy of bronchu	20198	037
Peripheral scars	Peritoneal dialysis	36334	091
Acquired stenosis of external ear canal, unspecified as to cause	Other OR upper GI therapeutic procedures	38050	094
Affective personality disorder, unspecified	Other OR therapeutic procedures on nose, mout	30110	033
Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	Incision and excision of CNS	01106	001
demeclocycline	Ungrouped	3154	000
Hypotropia	Peritoneal dialysis	37832	091
Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy	Incision and excision of CNS	01103	001
Hypertropia	Peritoneal dialysis	37831	091
Monofixation syndrome	Peritoneal dialysis	37834	091
Accommodative component in esotropia	Peritoneal dialysis	37835	091
Other hemochromatosis	Treatment, fracture or dislocation of hip and	27503	146
Hereditary hemochromatosis	Treatment, fracture or dislocation of hip and	27501	146
Secondary malignant neoplasm of kidney	Other OR therapeutic procedures on respirator	1980	042
Other venereal diseases due to chlamydia trachomatis, other genitourinary sites	Other OR therapeutic nervous system procedure	09954	009
Other venereal diseases due to chlamydia trachomatis, unspecified genitourinary site	Other OR therapeutic nervous system procedure	09955	009
Other disorders of iron metabolism	Treatment, fracture or dislocation of hip and	27509	146
Secondary malignant neoplasm of other urinary organs	Other OR therapeutic procedures on respirator	1981	042
Other venereal diseases due to chlamydia trachomatis, unspecified site	Other OR therapeutic nervous system procedure	09950	009
Erythema [first degree] of ankle	Burns	94513	240
Erythema [first degree] of lower limb [leg], unspecified site	Burns	94510	240
Other venereal diseases due to chlamydia trachomatis, lower genitourinary sites	Other OR therapeutic nervous system procedure	09953	009
Open dislocation of wrist, unspecified part	Conversion of cardiac rhythm	83310	225
Galactorrhea associated with childbirth, antepartum condition or complication	Diagnostic ultrasound of urinary tract	67663	195
Galactorrhea associated with childbirth, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	67660	195
Galactorrhea associated with childbirth, postpartum condition or complication	Diagnostic ultrasound of urinary tract	67664	195
Laceration of cervix, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	66531	195
Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site	Laminectomy, excision intervertebral disc	04112	003
Unspecified reduction deformity of lower limb,	Other respiratory therapy	75530	217
Other complications of puerperium, postpartum condition or complication	Diagnostic ultrasound of urinary tract	67484	195
Carcinoma in situ, unspecified female genital organ	Other non-OR therapeutic procedures on skin a	23330	174
Carcinoma in situ, vagina	Other OR therapeutic procedures on joints	23331	162
Carcinoma in situ, vulva	Other OR therapeutic procedures on joints	23332	162
Infantile spasms, with intractable epilepsy	Biopsy of liver	34561	083
Infantile spasms, without mention of intractable epilepsy	Biopsy of liver	34560	083
Rupture of synovium, unspecified	Therapeutic radiology	72750	211
Synovial cyst of popliteal space	Therapeutic radiology	72751	211
Personal history of leukemia, unspecified	Incision of pleura, thoracentesis, chest drai	V1060	039
Anencephalus	Respiratory intubation and mechanical ventila	7400	216
Protein-deficiency anemia	Other OR procedures on vessels of head and ne	2814	059
Pneumonia due to Streptococcus, group B	Removal of ectopic pregnancy	48232	122
Rubella without mention of complication	Other diagnostic nervous system procedures	0569	007
Secondary malignant neoplasm of other specified sites	Other OR therapeutic procedures on respirator	19889	042
High head at term, delivered, with or without mention of antepartum condition	Intravenous pyelogram	65251	187
Incompetence or weakening of pubocervical tissue	Excision of skin lesion	61881	170
Incompetence or weakening of rectovaginal tissue	Excision of skin lesion	61882	170
Pelvic muscle wasting	Excision of skin lesion	61883	170
Secondary malignant neoplasm of genital organs	Other OR therapeutic procedures on respirator	19882	042
Secondary malignant neoplasm of breast	Other OR therapeutic procedures on respirator	19881	042
Other specified genital prolapse	Excision of skin lesion	61889	170
Other anomalies of lower limb, including pelvic girdle	Other respiratory therapy	75569	217
Other anomalies of toes	Other respiratory therapy	75566	217
Anomalies of foot, not elsewhere classified	Other respiratory therapy	75567	217
Congenital deformity of knee (joint)	Other respiratory therapy	75564	217
Coxa vara, congenital	Other respiratory therapy	75562	217
Other congenital deformity of hip (joint)	Other respiratory therapy	75563	217
Unspecified anomaly of lower limb	Other respiratory therapy	75560	217
Carcinoma in situ of breast	Mastoidectomy	2330	024
